_sa_instance_state, exposure_id, exposure_number, timestamp_exposures, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79e430>","41342490783/2023-08-04 14:55:14.995437","4","2023-08-04 14:55:14.995437","41342490783",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79e4f0>","91178844387/2023-08-04 14:55:16.011271","3","2023-08-04 14:55:16.011271","91178844387",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79e5b0>","41653166946/2023-08-04 14:55:16.282992","1","2023-08-04 14:55:16.282992","41653166946",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79e670>","90485814111/2023-08-04 14:55:35.430276","6","2023-08-04 14:55:35.430276","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79e730>","24394114052/2023-08-04 14:55:54.732481","1","2023-08-04 14:55:54.732481","24394114052",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79e7f0>","90485814111/2023-08-04 14:56:04.977756","7","2023-08-04 14:56:04.977756","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79e8b0>","43178106246/2023-08-04 14:56:14.951153","2","2023-08-04 14:56:14.951153","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79e970>","91178844387/2023-08-04 14:56:25.345377","4","2023-08-04 14:56:25.345377","91178844387",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79ea30>","91178844387/2023-08-04 14:56:28.188793","5","2023-08-04 14:56:28.188793","91178844387",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79eaf0>","41653166946/2023-08-04 14:56:29.610623","2","2023-08-04 14:56:29.610623","41653166946",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79ebb0>","90485814111/2023-08-04 14:56:31.127677","8","2023-08-04 14:56:31.127677","90485814111",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79ec70>","27392750473/2023-08-04 14:56:33.235966","1","2023-08-04 14:56:33.235966","27392750473",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79ed30>","41653166946/2023-08-04 14:56:39.766088","3","2023-08-04 14:56:39.766088","41653166946",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79edf0>","86199520640/2023-08-04 14:56:41.293226","1","2023-08-04 14:56:41.293226","86199520640",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79eeb0>","41653166946/2023-08-04 14:57:04.837718","4","2023-08-04 14:57:04.837718","41653166946",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da79ef70>","43178106246/2023-08-04 14:57:07.269541","3","2023-08-04 14:57:07.269541","43178106246",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2070>","92213352748/2023-08-04 14:57:25.237654","2","2023-08-04 14:57:25.237654","92213352748",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2130>","41653166946/2023-08-04 14:57:47.771809","5","2023-08-04 14:57:47.771809","41653166946",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a21f0>","89877907719/2023-08-04 14:57:54.362531","1","2023-08-04 14:57:54.362531","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a22b0>","89877907719/2023-08-04 14:58:13.808520","2","2023-08-04 14:58:13.808520","89877907719",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2370>","27392750473/2023-08-04 14:58:18.377242","2","2023-08-04 14:58:18.377242","27392750473",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a2430>","95292523500/2023-08-04 14:58:24.366228","1","2023-08-04 14:58:24.366228","95292523500",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a24f0>","89877907719/2023-08-04 14:58:24.546785","3","2023-08-04 14:58:24.546785","89877907719",
